"filename", "language", "TypeScript", "JSON", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\dist\index_bundle.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\index.css", "CSS", 0, 0, 0, -108, 0, -1, 0, -109
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\index.html", "HTML", 0, 0, -27, 0, 0, 0, 0, -27
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Bird.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Fish.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\ForestGuardian.json", "JSON", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Humen.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Shark.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Turtle.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\test.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\index.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 14, 87
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\cardObject\CanvasCardObject.ts", "TypeScript", 126, 0, 0, 0, 0, 1, 3, 130
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\engine\Engine.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\Loader.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 26
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\ToCanvasAxis.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\Wait.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\Field.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 3, 196
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\Game.ts", "TypeScript", 373, 0, 0, 0, 0, 1, 31, 405
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Card.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Opponent.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Player.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\scenario\Scenario.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\subtitle\Subtitle.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 2, 50
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\Space.ts", "TypeScript", 32, 0, 0, 0, 0, 1, 1, 34
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\World.ts", "TypeScript", 230, 0, 0, 0, 0, 0, 4, 234
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Entity.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Npc.ts", "TypeScript", 27, 0, 0, 0, 0, 1, 2, 30
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Player.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Stuff.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entityData\bed.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\main.ts", "TypeScript", 25, 0, 0, 0, 0, 1, 4, 30
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\types\card.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 1341, 70, -27, -108, -1, 4, 73, 1352